AntalTræk,AntalHits,AntalMisses,HitRatio_Procent,SpilVundet
54,9,45,16.6666666666667,1
37,9,28,24.3243243243243,1
62,9,53,14.5161290322581,1
74,9,65,12.1621621621622,1
71,9,62,12.6760563380282,1
31,9,22,29.0322580645161,1
46,9,37,19.5652173913043,1
57,9,48,15.7894736842105,1
57,9,48,15.7894736842105,1
65,9,56,13.8461538461538,1
67,9,58,13.4328358208955,1
69,9,60,13.0434782608696,1
77,9,68,11.6883116883117,1
53,9,44,16.9811320754717,1
29,9,20,31.0344827586207,1
62,9,53,14.5161290322581,1
70,9,61,12.8571428571429,1
91,9,82,9.89010989010989,1
35,9,26,25.7142857142857,1
56,9,47,16.0714285714286,1
70,9,61,12.8571428571429,1
57,9,48,15.7894736842105,1
62,9,53,14.5161290322581,1
49,9,40,18.3673469387755,1
55,9,46,16.3636363636364,1
55,9,46,16.3636363636364,1
45,9,36,20,1
54,9,45,16.6666666666667,1
50,9,41,18,1
55,9,46,16.3636363636364,1
80,9,71,11.25,1
53,9,44,16.9811320754717,1
36,9,27,25,1
65,9,56,13.8461538461538,1
40,9,31,22.5,1
94,9,85,9.57446808510638,1
29,9,20,31.0344827586207,1
49,9,40,18.3673469387755,1
64,9,55,14.0625,1
77,9,68,11.6883116883117,1
69,9,60,13.0434782608696,1
41,9,32,21.9512195121951,1
88,9,79,10.2272727272727,1
49,9,40,18.3673469387755,1
27,9,18,33.3333333333333,1
82,9,73,10.9756097560976,1
25,9,16,36,1
47,9,38,19.1489361702128,1
58,9,49,15.5172413793103,1
42,9,33,21.4285714285714,1
46,9,37,19.5652173913043,1
46,9,37,19.5652173913043,1
43,9,34,20.9302325581395,1
44,9,35,20.4545454545455,1
72,9,63,12.5,1
38,9,29,23.6842105263158,1
49,9,40,18.3673469387755,1
62,9,53,14.5161290322581,1
50,9,41,18,1
38,9,29,23.6842105263158,1
97,9,88,9.27835051546392,1
76,9,67,11.8421052631579,1
53,9,44,16.9811320754717,1
45,9,36,20,1
60,9,51,15,1
50,9,41,18,1
46,9,37,19.5652173913043,1
34,9,25,26.4705882352941,1
52,9,43,17.3076923076923,1
60,9,51,15,1
47,9,38,19.1489361702128,1
64,9,55,14.0625,1
77,9,68,11.6883116883117,1
38,9,29,23.6842105263158,1
34,9,25,26.4705882352941,1
45,9,36,20,1
34,9,25,26.4705882352941,1
58,9,49,15.5172413793103,1
43,9,34,20.9302325581395,1
29,9,20,31.0344827586207,1
47,9,38,19.1489361702128,1
58,9,49,15.5172413793103,1
49,9,40,18.3673469387755,1
51,9,42,17.6470588235294,1
69,9,60,13.0434782608696,1
79,9,70,11.3924050632911,1
40,9,31,22.5,1
50,9,41,18,1
41,9,32,21.9512195121951,1
60,9,51,15,1
46,9,37,19.5652173913043,1
84,9,75,10.7142857142857,1
38,9,29,23.6842105263158,1
27,9,18,33.3333333333333,1
40,9,31,22.5,1
43,9,34,20.9302325581395,1
81,9,72,11.1111111111111,1
81,9,72,11.1111111111111,1
52,9,43,17.3076923076923,1
53,9,44,16.9811320754717,1
91,9,82,9.89010989010989,1
57,9,48,15.7894736842105,1
52,9,43,17.3076923076923,1
82,9,73,10.9756097560976,1
60,9,51,15,1
27,9,18,33.3333333333333,1
74,9,65,12.1621621621622,1
73,9,64,12.3287671232877,1
60,9,51,15,1
57,9,48,15.7894736842105,1
50,9,41,18,1
45,9,36,20,1
56,9,47,16.0714285714286,1
63,9,54,14.2857142857143,1
72,9,63,12.5,1
32,9,23,28.125,1
28,9,19,32.1428571428571,1
47,9,38,19.1489361702128,1
63,9,54,14.2857142857143,1
50,9,41,18,1
83,9,74,10.8433734939759,1
35,9,26,25.7142857142857,1
55,9,46,16.3636363636364,1
59,9,50,15.2542372881356,1
67,9,58,13.4328358208955,1
64,9,55,14.0625,1
91,9,82,9.89010989010989,1
42,9,33,21.4285714285714,1
59,9,50,15.2542372881356,1
70,9,61,12.8571428571429,1
39,9,30,23.0769230769231,1
38,9,29,23.6842105263158,1
70,9,61,12.8571428571429,1
46,9,37,19.5652173913043,1
51,9,42,17.6470588235294,1
54,9,45,16.6666666666667,1
45,9,36,20,1
39,9,30,23.0769230769231,1
52,9,43,17.3076923076923,1
79,9,70,11.3924050632911,1
73,9,64,12.3287671232877,1
47,9,38,19.1489361702128,1
61,9,52,14.7540983606557,1
57,9,48,15.7894736842105,1
61,9,52,14.7540983606557,1
65,9,56,13.8461538461538,1
44,9,35,20.4545454545455,1
53,9,44,16.9811320754717,1
57,9,48,15.7894736842105,1
48,9,39,18.75,1
38,9,29,23.6842105263158,1
67,9,58,13.4328358208955,1
44,9,35,20.4545454545455,1
59,9,50,15.2542372881356,1
75,9,66,12,1
48,9,39,18.75,1
36,9,27,25,1
70,9,61,12.8571428571429,1
61,9,52,14.7540983606557,1
36,9,27,25,1
67,9,58,13.4328358208955,1
98,9,89,9.18367346938776,1
32,9,23,28.125,1
45,9,36,20,1
46,9,37,19.5652173913043,1
33,9,24,27.2727272727273,1
46,9,37,19.5652173913043,1
28,9,19,32.1428571428571,1
35,9,26,25.7142857142857,1
43,9,34,20.9302325581395,1
59,9,50,15.2542372881356,1
84,9,75,10.7142857142857,1
73,9,64,12.3287671232877,1
29,9,20,31.0344827586207,1
56,9,47,16.0714285714286,1
